eCO2;TVOC;Time
400;0;1517961600
403;0;1517961630
403;0;1517961660
400;0;1517961690
408;1;1517961720
408;1;1517961750
400;0;1517961780
405;0;1517961810
413;1;1517961840
408;1;1517961870
408;1;1517961900
413;1;1517961930
405;0;1517961960
413;1;1517961990
409;1;1517962020
402;0;1517962050
400;0;1517962080
400;0;1517962110
405;0;1517962140
400;0;1517962170
414;2;1517962200
427;4;1517962230
438;5;1517962260
400;0;1517962290
400;0;1517962320
405;0;1517962350
408;1;1517962380
408;1;1517962410
405;0;1517962440
400;0;1517962470
400;0;1517962500
408;1;1517962530
400;0;1517962560
400;0;1517962590
408;1;1517962620
408;1;1517962650
400;0;1517962680
408;1;1517962710
408;1;1517962740
403;0;1517962770
408;1;1517962800
408;1;1517962830
410;1;1517962860
410;1;1517962890
410;1;1517962920
403;0;1517962950
410;1;1517962980
410;1;1517963010
400;0;1517963040
405;0;1517963070
407;1;1517963100
400;0;1517963130
400;0;1517963160
403;0;1517963190
400;0;1517963220
408;1;1517963250
410;1;1517963280
400;0;1517963310
408;1;1517963340
410;1;1517963370
408;1;1517963400
408;1;1517963430
410;1;1517963460
408;1;1517963490
410;1;1517963520
403;0;1517963550
400;0;1517963580
410;1;1517963610
403;0;1517963640
408;1;1517963670
408;1;1517963700
403;0;1517963730
410;1;1517963760
410;1;1517963790
410;1;1517963820
408;1;1517963850
403;0;1517963880
410;1;1517963910
408;1;1517963940
408;1;1517963970
408;1;1517964000
410;1;1517964030
400;0;1517964060
400;0;1517964090
400;0;1517964120
409;1;1517964150
409;1;1517964180
426;3;1517964210
443;6;1517964240
446;7;1517964270
438;5;1517964300
443;6;1517964330
443;6;1517964360
438;5;1517964390
446;7;1517964420
446;7;1517964450
438;5;1517964480
446;7;1517964510
446;7;1517964540
438;5;1517964570
506;16;1517964600
406;0;1517964630
400;0;1517964660
400;0;1517964690
410;1;1517964720
414;2;1517964750
410;1;1517964780
400;0;1517964810
410;1;1517964840
405;0;1517964870
405;0;1517964900
414;2;1517964930
418;2;1517964960
410;1;1517964990
418;2;1517965020
418;2;1517965050
418;2;1517965080
418;2;1517965110
418;2;1517965140
414;2;1517965170
414;2;1517965200
410;1;1517965230
414;2;1517965260
414;2;1517965290
405;0;1517965320
418;2;1517965350
410;1;1517965380
414;2;1517965410
418;2;1517965440
418;2;1517965470
418;2;1517965500
418;2;1517965530
418;2;1517965560
418;2;1517965590
418;2;1517965620
418;2;1517965650
414;2;1517965680
418;2;1517965710
410;1;1517965740
414;2;1517965770
422;3;1517965800
414;2;1517965830
414;2;1517965860
414;2;1517965890
414;2;1517965920
422;3;1517965950
414;2;1517965980
422;3;1517966010
410;1;1517966040
422;3;1517966070
427;4;1517966100
427;4;1517966130
427;4;1517966160
427;4;1517966190
427;4;1517966220
422;3;1517966250
427;4;1517966280
418;2;1517966310
427;4;1517966340
427;4;1517966370
427;4;1517966400
427;4;1517966430
427;4;1517966460
433;5;1517966490
433;5;1517966520
433;5;1517966550
418;2;1517966580
427;4;1517966610
433;5;1517966640
433;5;1517966670
433;5;1517966700
433;5;1517966730
433;5;1517966760
433;5;1517966790
422;3;1517966820
433;5;1517966850
438;5;1517966880
433;5;1517966910
433;5;1517966940
433;5;1517966970
433;5;1517967000
427;4;1517967030
433;5;1517967060
427;4;1517967090
438;5;1517967120
438;5;1517967150
438;5;1517967180
438;5;1517967210
438;5;1517967240
438;5;1517967270
438;5;1517967300
438;5;1517967330
438;5;1517967360
443;6;1517967390
438;5;1517967420
443;6;1517967450
443;6;1517967480
443;6;1517967510
433;5;1517967540
438;5;1517967570
438;5;1517967600
427;4;1517967630
438;5;1517967660
443;6;1517967690
438;5;1517967720
438;5;1517967750
438;5;1517967780
427;4;1517967810
438;5;1517967840
438;5;1517967870
427;4;1517967900
438;5;1517967930
427;4;1517967960
438;5;1517967990
438;5;1517968020
438;5;1517968050
438;5;1517968080
438;5;1517968110
438;5;1517968140
438;5;1517968170
443;6;1517968200
433;5;1517968230
433;5;1517968260
443;6;1517968290
438;5;1517968320
438;5;1517968350
443;6;1517968380
433;5;1517968410
443;6;1517968440
433;5;1517968470
433;5;1517968500
443;6;1517968530
438;5;1517968560
438;5;1517968590
438;5;1517968620
433;5;1517968650
443;6;1517968680
443;6;1517968710
438;5;1517968740
438;5;1517968770
438;5;1517968800
443;6;1517968830
443;6;1517968860
433;5;1517968890
443;6;1517968920
443;6;1517968950
445;6;1517968980
445;6;1517969010
445;6;1517969040
445;6;1517969070
445;6;1517969100
445;6;1517969130
438;5;1517969160
438;5;1517969190
445;6;1517969220
452;7;1517969250
452;7;1517969280
445;6;1517969310
445;6;1517969340
445;6;1517969370
445;6;1517969400
445;6;1517969430
464;9;1517969460
475;11;1517969490
477;11;1517969520
487;13;1517969550
487;13;1517969580
477;11;1517969610
460;9;1517969640
477;11;1517969670
475;11;1517969700
477;11;1517969730
477;11;1517969760
464;9;1517969790
475;11;1517969820
477;11;1517969850
475;11;1517969880
475;11;1517969910
475;11;1517969940
475;11;1517969970
464;9;1517970000
457;8;1517970030
457;8;1517970060
464;9;1517970090
457;8;1517970120
457;8;1517970150
460;9;1517970180
460;9;1517970210
457;8;1517970240
460;9;1517970270
460;9;1517970300
452;7;1517970330
460;9;1517970360
457;8;1517970390
457;8;1517970420
457;8;1517970450
445;6;1517970480
443;6;1517970510
452;7;1517970540
452;7;1517970570
445;6;1517970600
443;6;1517970630
443;6;1517970660
443;6;1517970690
443;6;1517970720
443;6;1517970750
452;7;1517970780
438;5;1517970810
438;5;1517970840
443;6;1517970870
443;6;1517970900
438;5;1517970930
445;6;1517970960
445;6;1517970990
445;6;1517971020
445;6;1517971050
445;6;1517971080
443;6;1517971110
443;6;1517971140
443;6;1517971170
443;6;1517971200
443;6;1517971230
443;6;1517971260
438;5;1517971290
427;4;1517971320
438;5;1517971350
443;6;1517971380
443;6;1517971410
438;5;1517971440
443;6;1517971470
427;4;1517971500
438;5;1517971530
438;5;1517971560
438;5;1517971590
438;5;1517971620
438;5;1517971650
443;6;1517971680
438;5;1517971710
438;5;1517971740
427;4;1517971770
427;4;1517971800
438;5;1517971830
427;4;1517971860
427;4;1517971890
438;5;1517971920
433;5;1517971950
433;5;1517971980
433;5;1517972010
433;5;1517972040
427;4;1517972070
438;5;1517972100
438;5;1517972130
438;5;1517972160
438;5;1517972190
438;5;1517972220
438;5;1517972250
438;5;1517972280
438;5;1517972310
438;5;1517972340
427;4;1517972370
427;4;1517972400
438;5;1517972430
422;3;1517972460
438;5;1517972490
427;4;1517972520
438;5;1517972550
438;5;1517972580
438;5;1517972610
427;4;1517972640
438;5;1517972670
438;5;1517972700
427;4;1517972730
433;5;1517972760
433;5;1517972790
433;5;1517972820
433;5;1517972850
433;5;1517972880
433;5;1517972910
433;5;1517972940
433;5;1517972970
433;5;1517973000
433;5;1517973030
433;5;1517973060
433;5;1517973090
433;5;1517973120
433;5;1517973150
433;5;1517973180
422;3;1517973210
433;5;1517973240
422;3;1517973270
433;5;1517973300
433;5;1517973330
433;5;1517973360
433;5;1517973390
427;4;1517973420
427;4;1517973450
422;3;1517973480
427;4;1517973510
427;4;1517973540
427;4;1517973570
427;4;1517973600
427;4;1517973630
418;2;1517973660
427;4;1517973690
418;2;1517973720
422;3;1517973750
422;3;1517973780
422;3;1517973810
422;3;1517973840
414;2;1517973870
422;3;1517973900
422;3;1517973930
422;3;1517973960
422;3;1517973990
418;2;1517974020
422;3;1517974050
418;2;1517974080
422;3;1517974110
422;3;1517974140
418;2;1517974170
418;2;1517974200
418;2;1517974230
410;1;1517974260
410;1;1517974290
418;2;1517974320
414;2;1517974350
410;1;1517974380
418;2;1517974410
418;2;1517974440
418;2;1517974470
414;2;1517974500
410;1;1517974530
418;2;1517974560
414;2;1517974590
418;2;1517974620
414;2;1517974650
418;2;1517974680
418;2;1517974710
410;1;1517974740
418;2;1517974770
422;3;1517974800
427;4;1517974830
433;5;1517974860
433;5;1517974890
438;5;1517974920
438;5;1517974950
445;6;1517974980
460;9;1517975010
475;11;1517975040
482;12;1517975070
487;13;1517975100
496;14;1517975130
498;14;1517975160
498;14;1517975190
503;15;1517975220
503;15;1517975250
496;14;1517975280
503;15;1517975310
503;15;1517975340
514;17;1517975370
498;14;1517975400
503;15;1517975430
503;15;1517975460
503;15;1517975490
514;17;1517975520
514;17;1517975550
526;19;1517975580
543;21;1517975610
555;23;1517975640
555;23;1517975670
561;24;1517975700
575;26;1517975730
581;27;1517975760
581;27;1517975790
561;24;1517975820
569;25;1517975850
575;26;1517975880
575;26;1517975910
561;24;1517975940
575;26;1517975970
575;26;1517976000
569;25;1517976030
555;23;1517976060
555;23;1517976090
543;21;1517976120
531;19;1517976150
531;19;1517976180
526;19;1517976210
531;19;1517976240
543;21;1517976270
536;20;1517976300
536;20;1517976330
536;20;1517976360
519;18;1517976390
519;18;1517976420
531;19;1517976450
531;19;1517976480
519;18;1517976510
526;19;1517976540
519;18;1517976570
519;18;1517976600
514;17;1517976630
519;18;1517976660
519;18;1517976690
514;17;1517976720
503;15;1517976750
503;15;1517976780
503;15;1517976810
503;15;1517976840
498;14;1517976870
496;14;1517976900
498;14;1517976930
498;14;1517976960
498;14;1517976990
487;13;1517977020
496;14;1517977050
496;14;1517977080
496;14;1517977110
487;13;1517977140
487;13;1517977170
487;13;1517977200
487;13;1517977230
477;11;1517977260
482;12;1517977290
477;11;1517977320
482;12;1517977350
482;12;1517977380
482;12;1517977410
477;11;1517977440
464;9;1517977470
477;11;1517977500
464;9;1517977530
475;11;1517977560
475;11;1517977590
475;11;1517977620
475;11;1517977650
475;11;1517977680
460;9;1517977710
457;8;1517977740
464;9;1517977770
464;9;1517977800
457;8;1517977830
457;8;1517977860
452;7;1517977890
457;8;1517977920
452;7;1517977950
457;8;1517977980
457;8;1517978010
445;6;1517978040
457;8;1517978070
457;8;1517978100
452;7;1517978130
457;8;1517978160
452;7;1517978190
452;7;1517978220
443;6;1517978250
452;7;1517978280
445;6;1517978310
445;6;1517978340
445;6;1517978370
443;6;1517978400
443;6;1517978430
433;5;1517978460
438;5;1517978490
427;4;1517978520
438;5;1517978550
427;4;1517978580
438;5;1517978610
422;3;1517978640
433;5;1517978670
433;5;1517978700
427;4;1517978730
433;5;1517978760
433;5;1517978790
433;5;1517978820
427;4;1517978850
418;2;1517978880
427;4;1517978910
422;3;1517978940
414;2;1517978970
422;3;1517979000
422;3;1517979030
422;3;1517979060
418;2;1517979090
418;2;1517979120
418;2;1517979150
414;2;1517979180
414;2;1517979210
414;2;1517979240
414;2;1517979270
405;0;1517979300
414;2;1517979330
405;0;1517979360
414;2;1517979390
400;0;1517979420
414;2;1517979450
410;1;1517979480
410;1;1517979510
410;1;1517979540
405;0;1517979570
408;1;1517979600
400;0;1517979630
400;0;1517979660
400;0;1517979690
408;1;1517979720
408;1;1517979750
413;1;1517979780
400;0;1517979810
400;0;1517979840
409;1;1517979870
400;0;1517979900
405;0;1517979930
409;1;1517979960
405;0;1517979990
405;0;1517980020
414;2;1517980050
409;1;1517980080
409;1;1517980110
405;0;1517980140
400;0;1517980170
409;1;1517980200
411;1;1517980230
400;0;1517980260
407;1;1517980290
407;1;1517980320
400;0;1517980350
407;1;1517980380
400;0;1517980410
407;1;1517980440
400;0;1517980470
400;0;1517980500
402;0;1517980530
402;0;1517980560
400;0;1517980590
400;0;1517980620
400;0;1517980650
409;1;1517980680
400;0;1517980710
402;0;1517980740
409;1;1517980770
400;0;1517980800
414;2;1517980830
414;2;1517980860
405;0;1517980890
414;2;1517980920
414;2;1517980950
407;1;1517980980
407;1;1517981010
407;1;1517981040
407;1;1517981070
407;1;1517981100
400;0;1517981130
408;1;1517981160
408;1;1517981190
408;1;1517981220
408;1;1517981250
403;0;1517981280
403;0;1517981310
408;1;1517981340
400;0;1517981370
400;0;1517981400
408;1;1517981430
408;1;1517981460
408;1;1517981490
400;0;1517981520
405;0;1517981550
408;1;1517981580
408;1;1517981610
408;1;1517981640
400;0;1517981670
408;1;1517981700
403;0;1517981730
400;0;1517981760
408;1;1517981790
408;1;1517981820
400;0;1517981850
408;1;1517981880
408;1;1517981910
408;1;1517981940
400;0;1517981970
408;1;1517982000
405;0;1517982030
400;0;1517982060
400;0;1517982090
408;1;1517982120
405;0;1517982150
408;1;1517982180
407;1;1517982210
411;1;1517982240
411;1;1517982270
411;1;1517982300
407;1;1517982330
405;0;1517982360
400;0;1517982390
407;1;1517982420
405;0;1517982450
400;0;1517982480
410;1;1517982510
403;0;1517982540
408;1;1517982570
408;1;1517982600
408;1;1517982630
408;1;1517982660
400;0;1517982690
408;1;1517982720
410;1;1517982750
410;1;1517982780
408;1;1517982810
408;1;1517982840
408;1;1517982870
408;1;1517982900
408;1;1517982930
408;1;1517982960
403;0;1517982990
409;1;1517983020
409;1;1517983050
409;1;1517983080
409;1;1517983110
400;0;1517983140
409;1;1517983170
409;1;1517983200
400;0;1517983230
409;1;1517983260
409;1;1517983290
400;0;1517983320
409;1;1517983350
409;1;1517983380
413;1;1517983410
409;1;1517983440
400;0;1517983470
409;1;1517983500
403;0;1517983530
403;0;1517983560
403;0;1517983590
408;1;1517983620
400;0;1517983650
411;1;1517983680
408;1;1517983710
408;1;1517983740
403;0;1517983770
408;1;1517983800
408;1;1517983830
408;1;1517983860
403;0;1517983890
400;0;1517983920
414;2;1517983950
409;1;1517983980
400;0;1517984010
409;1;1517984040
409;1;1517984070
409;1;1517984100
406;0;1517984130
400;0;1517984160
409;1;1517984190
409;1;1517984220
409;1;1517984250
409;1;1517984280
403;0;1517984310
403;0;1517984340
410;1;1517984370
402;0;1517984400
407;1;1517984430
400;0;1517984460
407;1;1517984490
400;0;1517984520
400;0;1517984550
407;1;1517984580
407;1;1517984610
407;1;1517984640
407;1;1517984670
400;0;1517984700
402;0;1517984730
407;1;1517984760
407;1;1517984790
400;0;1517984820
409;1;1517984850
400;0;1517984880
411;1;1517984910
400;0;1517984940
400;0;1517984970
409;1;1517985000
402;0;1517985030
402;0;1517985060
402;0;1517985090
402;0;1517985120
400;0;1517985150
400;0;1517985180
406;0;1517985210
410;1;1517985240
408;1;1517985270
408;1;1517985300
408;1;1517985330
408;1;1517985360
408;1;1517985390
408;1;1517985420
405;0;1517985450
405;0;1517985480
405;0;1517985510
400;0;1517985540
405;0;1517985570
405;0;1517985600
400;0;1517985630
413;1;1517985660
413;1;1517985690
413;1;1517985720
400;0;1517985750
400;0;1517985780
400;0;1517985810
408;1;1517985840
405;0;1517985870
413;1;1517985900
408;1;1517985930
408;1;1517985960
400;0;1517985990
400;0;1517986020
408;1;1517986050
400;0;1517986080
408;1;1517986110
408;1;1517986140
400;0;1517986170
400;0;1517986200
409;1;1517986230
409;1;1517986260
409;1;1517986290
409;1;1517986320
409;1;1517986350
409;1;1517986380
400;0;1517986410
409;1;1517986440
411;1;1517986470
411;1;1517986500
411;1;1517986530
411;1;1517986560
411;1;1517986590
411;1;1517986620
411;1;1517986650
411;1;1517986680
400;0;1517986710
400;0;1517986740
407;1;1517986770
407;1;1517986800
402;0;1517986830
406;0;1517986860
406;0;1517986890
406;0;1517986920
406;0;1517986950
406;0;1517986980
406;0;1517987010
406;0;1517987040
406;0;1517987070
406;0;1517987100
406;0;1517987130
406;0;1517987160
406;0;1517987190
406;0;1517987220
403;0;1517987250
408;1;1517987280
408;1;1517987310
408;1;1517987340
408;1;1517987370
408;1;1517987400
408;1;1517987430
408;1;1517987460
413;1;1517987490
405;0;1517987520
413;1;1517987550
400;0;1517987580
413;1;1517987610
413;1;1517987640
413;1;1517987670
409;1;1517987700
409;1;1517987730
409;1;1517987760
409;1;1517987790
409;1;1517987820
409;1;1517987850
409;1;1517987880
409;1;1517987910
400;0;1517987940
409;1;1517987970
400;0;1517988000
405;0;1517988030
414;2;1517988060
405;0;1517988090
414;2;1517988120
414;2;1517988150
414;2;1517988180
400;0;1517988210
409;1;1517988240
409;1;1517988270
409;1;1517988300
409;1;1517988330
409;1;1517988360
409;1;1517988390
409;1;1517988420
409;1;1517988450
408;1;1517988480
408;1;1517988510
408;1;1517988540
413;1;1517988570
417;2;1517988600
425;3;1517988630
425;3;1517988660
417;2;1517988690
425;3;1517988720
425;3;1517988750
425;3;1517988780
421;3;1517988810
421;3;1517988840
413;1;1517988870
421;3;1517988900
421;3;1517988930
421;3;1517988960
421;3;1517988990
421;3;1517989020
413;1;1517989050
421;3;1517989080
421;3;1517989110
421;3;1517989140
417;2;1517989170
421;3;1517989200
421;3;1517989230
421;3;1517989260
421;3;1517989290
417;2;1517989320
421;3;1517989350
413;1;1517989380
421;3;1517989410
421;3;1517989440
413;1;1517989470
413;1;1517989500
421;3;1517989530
421;3;1517989560
413;1;1517989590
421;3;1517989620
408;1;1517989650
421;3;1517989680
417;2;1517989710
421;3;1517989740
421;3;1517989770
421;3;1517989800
421;3;1517989830
421;3;1517989860
413;1;1517989890
